rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
RNN,0.5,150,2,False,0.6488162899896297,0.692633103054078,0.5643053267435475,0.2285997886839274,0.6962767251851883,0.6731651376146789,0.5863570391872278
RNN,0.5,200,1,True,0.6457604968602757,0.650552332417561,0.6056013179571663,0.3820911208881396,0.6153866122053429,0.6731651376146789,0.582723279648609
RNN,0.5,150,3,True,0.6859354671794698,0.6815155451089306,0.5330038440417353,0.1347732181425485,0.6267414347014644,0.6731651376146789,0.6689895470383275
RNN,0.3,200,1,True,0.6457604968602757,0.650552332417561,0.6056013179571663,0.3820911208881396,0.6153866122053429,0.6731651376146789,0.582723279648609
RNN,0.0,200,1,True,0.6457604968602757,0.650552332417561,0.6056013179571663,0.3820911208881396,0.6153866122053429,0.6731651376146789,0.582723279648609
RNN,0.3,200,3,False,0.6127205060099677,0.6780873664578453,0.6028555738605161,0.346226091509625,0.6657996345311403,0.6720183486238532,0.5855072463768116
RNN,0.5,150,3,False,0.6322729648807631,0.6813816945735223,0.5961559582646897,0.3254384866987285,0.6776162385940552,0.6697247706422018,0.55
RNN,0.0,200,2,False,0.6404241324295097,0.6923593280093916,0.5630971993410214,0.2245174460109967,0.6875841006297957,0.6651376146788991,0.5615615615615617
RNN,0.3,200,3,True,0.6085388337137512,0.7247198424704088,0.5978034047226798,0.3294817211179871,0.8077350670725785,0.6639908256880734,0.551301684532925
RNN,0.0,150,2,False,0.6211920936810805,0.7146191371187486,0.5879187259747392,0.3085902581482465,0.7257231587374752,0.661697247706422,0.5563909774436091
RNN,0.0,200,2,True,0.626130825033935,0.6692886260200719,0.5911037891268534,0.333737931489876,0.6787727558138695,0.6594036697247706,0.5465648854961833
RNN,0.3,100,2,True,0.6573676574065389,0.6670135905508137,0.5769357495881383,0.2610314799558506,0.6789294328879226,0.6571100917431193,0.5364341085271317
RNN,0.5,150,1,True,0.6339374672982001,0.6866719131098419,0.5852828116419551,0.3124678645128356,0.6914366139945659,0.6571100917431193,0.5449010654490107
RNN,0.5,150,1,False,0.6298970989642605,0.6656975129425852,0.600329489291598,0.3421014062754583,0.6567421340468255,0.6571100917431193,0.5306122448979592
RNN,0.3,150,1,True,0.6339374672982001,0.6866719131098419,0.5852828116419551,0.3124678645128356,0.6914366139945659,0.6571100917431193,0.5449010654490107
